date,issue,x,y,z
2022-01-10,2022010,9,8,2
2022-01-09,2022009,6,0,1
2022-01-08,2022008,4,9,8
2022-01-07,2022007,9,2,1
2022-01-06,2022006,8,8,7
2022-01-05,2022005,2,4,0
2022-01-04,2022004,7,3,9
2022-01-03,2022003,0,1,0
2022-01-02,2022002,9,2,7
2022-01-01,2022001,3,4,9
2021-12-31,2021351,7,4,7
2021-12-30,2021350,0,3,8
2021-12-29,2021349,1,0,6
2021-12-28,2021348,1,8,4
2021-12-27,2021347,5,9,4
2021-12-26,2021346,2,6,6
2021-12-25,2021345,9,3,5
2021-12-24,2021344,6,1,1
2021-12-23,2021343,7,9,3
2021-12-22,2021342,3,1,2
2021-12-21,2021341,6,0,6
2021-12-20,2021340,2,8,7
2021-12-19,2021339,2,6,7
2021-12-18,2021338,4,9,0
2021-12-17,2021337,8,8,9
2021-12-16,2021336,6,5,0
2021-12-15,2021335,4,9,3
2021-12-14,2021334,6,9,2
2021-12-13,2021333,4,9,4
2021-12-12,2021332,5,0,0
2021-12-11,2021331,1,2,2
2021-12-10,2021330,7,4,4
2021-12-09,2021329,2,8,6
2021-12-08,2021328,3,0,0
2021-12-07,2021327,9,3,5
2021-12-06,2021326,9,7,0
2021-12-05,2021325,5,1,5
2021-12-04,2021324,8,8,6
2021-12-03,2021323,7,5,4
2021-12-02,2021322,5,0,0
2021-12-01,2021321,3,9,7
2021-11-30,2021320,3,6,9
2021-11-29,2021319,8,8,6
2021-11-28,2021318,4,8,9
2021-11-27,2021317,1,4,3
2021-11-26,2021316,5,1,6
2021-11-25,2021315,7,5,5
2021-11-24,2021314,0,2,0
2021-11-23,2021313,9,3,8
2021-11-22,2021312,6,9,8
2021-11-21,2021311,9,5,8
2021-11-20,2021310,4,5,6
2021-11-19,2021309,7,2,2
2021-11-18,2021308,1,8,0
2021-11-17,2021307,4,8,6
2021-11-16,2021306,7,7,4
2021-11-15,2021305,2,0,7
2021-11-14,2021304,6,0,9
2021-11-13,2021303,6,3,2
2021-11-12,2021302,4,3,2
2021-11-11,2021301,5,2,1
2021-11-10,2021300,5,7,6
2021-11-09,2021299,5,8,0
2021-11-08,2021298,2,8,5
2021-11-07,2021297,8,9,3
2021-11-06,2021296,5,8,4
2021-11-05,2021295,2,5,1
2021-11-04,2021294,5,4,2
2021-11-03,2021293,3,5,6
2021-11-02,2021292,9,5,4
2021-11-01,2021291,7,9,5
2021-10-31,2021290,6,5,8
2021-10-30,2021289,8,3,0
2021-10-29,2021288,3,3,0
2021-10-28,2021287,4,5,3
2021-10-27,2021286,0,8,0
2021-10-26,2021285,4,4,7
2021-10-25,2021284,6,1,0
2021-10-24,2021283,5,9,9
2021-10-23,2021282,5,0,6
2021-10-22,2021281,2,3,5
2021-10-21,2021280,2,7,6
2021-10-20,2021279,9,1,5
2021-10-19,2021278,5,9,8
2021-10-18,2021277,4,5,3
2021-10-17,2021276,7,1,9
2021-10-16,2021275,2,5,8
2021-10-15,2021274,9,8,7
2021-10-14,2021273,1,9,7
2021-10-13,2021272,9,8,5
2021-10-12,2021271,8,4,3
2021-10-11,2021270,6,0,3
2021-10-10,2021269,2,7,5
2021-10-09,2021268,1,2,8
2021-10-08,2021267,1,7,5
2021-10-07,2021266,0,7,3
2021-10-06,2021265,7,0,0
2021-10-05,2021264,8,7,2
2021-09-30,2021263,1,9,4
2021-09-29,2021262,5,4,8
2021-09-28,2021261,2,9,3
2021-09-27,2021260,7,2,0
2021-09-26,2021259,9,3,0
2021-09-25,2021258,9,4,6
