number,last_number,last_he
982,601,7.0
601,498,21.0
498,921,12.0
921,887,23.0
887,240,6.0
240,739,19.0
739,010,1.0
010,927,18.0
927,349,16.0
349,747,18.0
747,038,11.0
038,106,7.0
106,184,13.0
184,594,18.0
594,266,14.0
266,935,17.0
935,611,8.0
611,793,19.0
793,312,6.0
312,606,12.0
606,287,17.0
287,267,15.0
267,490,13.0
490,889,25.0
889,650,11.0
650,493,16.0
493,692,17.0
692,494,17.0
494,500,5.0
500,122,5.0
122,744,15.0
744,286,16.0
286,300,3.0
300,935,17.0
935,970,16.0
970,515,11.0
515,886,22.0
886,754,16.0
754,500,5.0
500,397,19.0
397,369,18.0
369,886,22.0
886,489,21.0
489,143,8.0
143,516,12.0
516,755,17.0
755,020,2.0
020,938,20.0
938,698,23.0
698,958,22.0
958,456,15.0
456,722,11.0
722,180,9.0
180,486,18.0
486,774,18.0
774,207,9.0
207,609,15.0
609,632,11.0
632,432,9.0
432,521,8.0
521,576,18.0
576,580,13.0
580,285,15.0
285,893,20.0
893,584,17.0
584,251,8.0
251,542,11.0
542,356,14.0
356,954,18.0
954,795,21.0
795,658,19.0
658,830,11.0
830,330,6.0
330,453,12.0
453,080,8.0
080,447,15.0
447,610,7.0
610,599,23.0
599,506,11.0
506,235,10.0
235,276,15.0
276,915,15.0
915,598,22.0
598,453,12.0
453,719,17.0
719,258,15.0
258,987,24.0
987,197,17.0
197,985,22.0
985,843,15.0
843,603,9.0
603,275,14.0
275,128,11.0
128,175,13.0
175,073,10.0
073,700,7.0
700,872,17.0
872,194,14.0
194,548,17.0
548,293,14.0
293,720,9.0
720,930,12.0
930,946,19.0
946,819,18.0
819,904,13.0
904,167,14.0
167,160,7.0
160,203,5.0
203,210,3.0
210,133,7.0
133,872,17.0
872,448,16.0
448,050,5.0
050,121,4.0
121,091,10.0
091,447,15.0
447,417,12.0
417,327,12.0
327,564,15.0
564,262,10.0
262,311,5.0
311,930,12.0
930,194,14.0
194,724,13.0
724,686,20.0
686,254,11.0
254,561,12.0
561,904,13.0
904,437,14.0
437,026,8.0
026,764,17.0
764,708,15.0
708,045,9.0
045,490,13.0
490,486,18.0
486,498,21.0
498,010,1.0
010,184,13.0
184,372,12.0
372,929,20.0
929,023,5.0
023,921,12.0
921,730,10.0
730,216,9.0
216,765,18.0
765,189,18.0
189,144,9.0
144,950,14.0
950,258,15.0
258,276,15.0
276,797,23.0
797,396,18.0
396,283,13.0
283,144,9.0
144,452,11.0
452,813,12.0
813,945,18.0
945,920,11.0
920,601,7.0
601,872,17.0
872,258,15.0
258,131,5.0
131,121,4.0
121,053,8.0
053,407,11.0
407,752,14.0
752,447,15.0
447,066,12.0
066,647,17.0
647,871,16.0
871,036,9.0
036,380,11.0
380,450,9.0
450,740,11.0
740,271,10.0
271,938,20.0
938,497,20.0
497,546,15.0
546,472,13.0
472,371,11.0
371,144,9.0
144,994,22.0
994,716,14.0
716,693,18.0
693,213,6.0
213,132,6.0
132,676,19.0
676,023,5.0
023,276,15.0
276,366,15.0
366,184,13.0
184,042,6.0
042,645,15.0
645,126,9.0
126,873,18.0
873,837,18.0
837,125,8.0
125,665,17.0
665,887,23.0
887,299,20.0
299,895,22.0
895,723,12.0
723,307,10.0
307,807,15.0
807,433,10.0
433,089,17.0
089,043,7.0
043,411,6.0
411,712,10.0
712,161,8.0
161,862,16.0
862,972,18.0
972,945,18.0
945,198,18.0
198,858,21.0
858,176,14.0
176,258,15.0
258,232,7.0
232,967,22.0
967,070,7.0
070,395,17.0
395,800,8.0
800,954,18.0
954,070,7.0
070,888,24.0
888,081,9.0
081,456,15.0
456,160,7.0
160,688,22.0
688,055,10.0
055,198,18.0
198,816,15.0
816,173,11.0
173,606,12.0
606,641,11.0
641,942,15.0
942,407,11.0
407,748,19.0
748,401,5.0
401,801,9.0
801,450,9.0
450,859,22.0
859,550,10.0
550,079,16.0
079,161,8.0
161,231,6.0
231,577,19.0
577,012,3.0
012,349,16.0
349,271,10.0
271,312,6.0
312,183,12.0
183,053,8.0
053,782,17.0
782,872,17.0
872,589,22.0
589,385,16.0
385,512,8.0
512,019,10.0
019,145,10.0
145,877,22.0
877,098,17.0
098,014,5.0
014,168,15.0
168,244,10.0
244,989,26.0
989,699,24.0
699,333,9.0
333,705,12.0
705,045,9.0
045,137,11.0
137,383,14.0
383,144,9.0
144,902,11.0
902,432,9.0
432,235,10.0
235,766,19.0
766,131,5.0
131,067,13.0
067,340,7.0
340,128,11.0
128,167,14.0
167,079,16.0
079,853,16.0
853,954,18.0
954,757,19.0
757,237,12.0
237,678,21.0
678,400,4.0
400,914,14.0
914,376,16.0
376,772,16.0
772,658,19.0
658,608,14.0
